image_path,product_name,source_page,license
/images/products/oxford-shirt-commute-main.jpg,男士牛津纺通勤衬衫,https://unsplash.com/s/photos/men-oxford-shirt,Unsplash License
/images/products/linen-shirt-summer-main.jpg,夏季亚麻短袖衬衫,https://unsplash.com/s/photos/linen-short-sleeve-shirt,Unsplash License
/images/products/hoodie-casual-main.jpg,宽松连帽休闲卫衣,https://unsplash.com/s/photos/casual-hoodie,Unsplash License
/images/products/knit-minimal-cardigan-main.jpg,极简针织开衫,https://unsplash.com/s/photos/minimal-cardigan,Unsplash License
/images/products/blazer-formal-main.jpg,羊毛混纺修身西装外套,https://unsplash.com/s/photos/formal-blazer,Unsplash License
/images/products/puffer-winter-light-main.jpg,轻量保暖羽绒服,https://unsplash.com/s/photos/light-puffer-jacket,Unsplash License
/images/products/jeans-straight-daily-main.jpg,直筒日常牛仔裤,https://unsplash.com/s/photos/straight-jeans,Unsplash License
/images/products/chino-commute-tapered-main.jpg,锥形通勤休闲裤,https://unsplash.com/s/photos/tapered-chino-pants,Unsplash License
/images/products/shorts-summer-cotton-main.jpg,夏季棉质休闲短裤,https://unsplash.com/s/photos/cotton-shorts,Unsplash License
/images/products/skirt-a-line-date-main.jpg,约会A字半裙,https://unsplash.com/s/photos/a-line-skirt,Unsplash License
/images/products/tshirt-sport-quickdry-main.jpg,速干运动T恤,https://unsplash.com/s/photos/sports-t-shirt,Unsplash License
/images/products/jacket-outdoor-shell-main.jpg,户外防风轻壳夹克,https://unsplash.com/s/photos/outdoor-windbreaker,Unsplash License
/images/products/sweatshirt-street-oversized-main.jpg,街头廓形圆领卫衣,https://unsplash.com/s/photos/oversized-sweatshirt,Unsplash License
/images/products/shirt-smart-casual-stripe-main.jpg,条纹精致休闲衬衫,https://unsplash.com/s/photos/striped-shirt,Unsplash License
/images/products/pants-travel-relaxed-main.jpg,旅行舒适休闲裤,https://unsplash.com/s/photos/relaxed-pants,Unsplash License
/images/products/knit-wool-winter-main.jpg,羊毛保暖针织衫,https://unsplash.com/s/photos/wool-sweater,Unsplash License
/images/products/blazer-smart-casual-main.jpg,精致休闲西装外套,https://unsplash.com/s/photos/smart-casual-blazer,Unsplash License
/images/products/denim-jacket-street-main.jpg,街头牛仔夹克,https://unsplash.com/s/photos/denim-jacket,Unsplash License
/images/products/polo-commute-minimal-main.jpg,极简通勤Polo衫,https://unsplash.com/s/photos/polo-shirt,Unsplash License
/images/products/skirt-commute-pleated-main.jpg,通勤百褶半裙,https://unsplash.com/s/photos/pleated-skirt,Unsplash License
/images/products/shorts-outdoor-nylon-main.jpg,户外尼龙短裤,https://unsplash.com/s/photos/nylon-shorts,Unsplash License
/images/products/shirt-date-soft-main.jpg,柔软约会衬衫,https://unsplash.com/s/photos/soft-dress-shirt,Unsplash License
/images/products/pants-formal-slim-main.jpg,修身正式西裤,https://unsplash.com/s/photos/formal-trousers,Unsplash License
/images/products/jacket-commute-trench-main.jpg,通勤轻薄风衣,https://unsplash.com/s/photos/trench-coat,Unsplash License
/images/products/hoodie-travel-relaxed-main.jpg,旅行舒适卫衣,https://unsplash.com/s/photos/travel-hoodie,Unsplash License
/images/products/jeans-tapered-dark-main.jpg,深色锥形牛仔裤,https://unsplash.com/s/photos/dark-tapered-jeans,Unsplash License
/images/products/tshirt-minimal-heavy-main.jpg,重磅极简T恤,https://unsplash.com/s/photos/minimal-t-shirt,Unsplash License
/images/products/puffer-outdoor-winter-main.jpg,户外防寒羽绒服,https://unsplash.com/s/photos/winter-puffer-jacket,Unsplash License
/images/products/cardigan-date-soft-main.jpg,柔软约会针织开衫,https://unsplash.com/s/photos/soft-cardigan,Unsplash License
/images/products/chino-casual-loose-main.jpg,宽松休闲卡其裤,https://unsplash.com/s/photos/loose-khaki-pants,Unsplash License
/images/products/shirt-formal-white-main.jpg,正式白衬衫,https://unsplash.com/s/photos/white-formal-shirt,Unsplash License
/images/products/jacket-sport-light-main.jpg,轻量运动夹克,https://unsplash.com/s/photos/light-sports-jacket,Unsplash License
/images/products/skirt-minimal-straight-main.jpg,极简直筒半裙,https://unsplash.com/s/photos/minimal-straight-skirt,Unsplash License
/images/products/jeans-casual-wide-main.jpg,休闲宽腿牛仔裤,https://unsplash.com/s/photos/wide-leg-jeans,Unsplash License
/images/products/tshirt-low-stock-edge-main.jpg,低库存边界T恤,https://unsplash.com/s/photos/black-t-shirt,Unsplash License
/images/products/jacket-out-of-stock-edge-main.jpg,无库存边界夹克,https://unsplash.com/s/photos/light-jacket,Unsplash License
/images/products/shirt-offsale-edge-main.jpg,下架边界衬衫,https://unsplash.com/s/photos/casual-shirt,Unsplash License
